"Kod";"Nazwa";"ogółem;2024;[zł]";
2611000;"Powiat starachowicki";7419,92;
2612000;"Powiat staszowski";7709,93;
2613000;"Powiat włoszczowski";7885,46;
2661000;"Powiat m. Kielce";8213,37;
2800000;"WARMIŃSKO-MAZURSKIE";7529,41;
2801000;"Powiat bartoszycki";7306,21;
2802000;"Powiat braniewski";7161,10;
2803000;"Powiat działdowski";6837,70;
2804000;"Powiat elbląski";6911,87;
2805000;"Powiat ełcki";7105,41;
2806000;"Powiat giżycki";7290,83;
2807000;"Powiat iławski";6772,05;
2808000;"Powiat kętrzyński";7110,81;
2809000;"Powiat lidzbarski";7120,10;
2810000;"Powiat mrągowski";7028,59;
2811000;"Powiat nidzicki";6662,49;
2812000;"Powiat nowomiejski";6281,85;
2813000;"Powiat olecki";7100,16;
2814000;"Powiat olsztyński";7476,07;
2815000;"Powiat ostródzki";7035,13;
2816000;"Powiat piski";7584,36;
2817000;"Powiat szczycieński";7329,05;
2818000;"Powiat gołdapski";6795,43;
2819000;"Powiat węgorzewski";7366,34;
2861000;"Powiat m. Elbląg";7929,33;
2862000;"Powiat m. Olsztyn";8613,33;
3000000;"WIELKOPOLSKIE";7759,22;
3001000;"Powiat chodzieski";6990,88;
3002000;"Powiat czarnkowsko-trzcianecki";7412,40;
3003000;"Powiat gnieźnieński";7371,83;
3004000;"Powiat gostyński";7398,35;
3005000;"Powiat grodziski";7189,98;
3006000;"Powiat jarociński";6989,27;
3007000;"Powiat kaliski";6886,04;
3008000;"Powiat kępiński";6230,53;
3009000;"Powiat kolski";7643,77;
3010000;"Powiat koniński";6684,28;
3011000;"Powiat kościański";7641,79;
3012000;"Powiat krotoszyński";6138,30;
3013000;"Powiat leszczyński";7612,69;
3014000;"Powiat międzychodzki";7213,73;
3015000;"Powiat nowotomyski";7491,99;
3016000;"Powiat obornicki";7342,60;
3017000;"Powiat ostrowski";7020,52;
3018000;"Powiat ostrzeszowski";7165,32;
3019000;"Powiat pilski";7730,59;
3020000;"Powiat pleszewski";7279,11;
3021000;"Powiat poznański";7385,74;
3022000;"Powiat rawicki";7064,12;
3023000;"Powiat słupecki";7155,79;
3024000;"Powiat szamotulski";7901,80;
3025000;"Powiat średzki";7636,09;
3026000;"Powiat śremski";7046,48;
3027000;"Powiat turecki";6623,58;
3028000;"Powiat wągrowiecki";7049,83;
3029000;"Powiat wolsztyński";7179,52;
3030000;"Powiat wrzesiński";7373,89;
3031000;"Powiat złotowski";6481,66;
3061000;"Powiat m. Kalisz";7664,70;
3062000;"Powiat m. Konin";7676,93;
3063000;"Powiat m. Leszno";7824,59;
3064000;"Powiat m. Poznań";9495,07;
3200000;"ZACHODNIOPOMORSKIE";8027,37;
3201000;"Powiat białogardzki";7482,25;
3202000;"Powiat choszczeński";7346,76;
